Investor,Stage fit (pre-seed/seed),Check size,Sector fit (AI/fintech/marketplace),Warm intro mümkün mü?,Son 2 yılda benzer yatırım yapmış mı?
Revo Capital,Seed,"$500K-$3M","AI, fintech, marketplace",Evet,Evet
Earlybird Digital East Fund,Seed,"$1M-$5M","AI, fintech, marketplace",Evet,Evet
Collective Spark,Pre-seed/Seed,"$250K-$2M","AI, fintech",Evet,Evet
500 Emerging Europe,Pre-seed/Seed,"$150K-$1M","AI, fintech, marketplace",Evet,Evet
Lima Ventures,Pre-seed/Seed,"$100K-$500K","AI, marketplace",Evet,Evet
Boğaziçi Ventures,Seed,"$500K-$3M","AI, fintech",Evet,Evet
Diffusion Capital Partners,Seed,"$1M-$5M","AI, marketplace",Evet,Evet
Logo Ventures,Seed,"$500K-$2M","AI, fintech, marketplace",Evet,Evet
StartersHub,Pre-seed/Seed,"$100K-$600K","AI, fintech, marketplace",Evet,Evet
APY Ventures,Seed,"$500K-$2M","AI, fintech, marketplace",Evet,Evet
Founder One,Pre-seed/Seed,"$100K-$500K","AI, fintech",Evet,Evet
TR Angels,Pre-seed,"$50K-$300K","AI, fintech, marketplace",Evet,Evet
Galata Business Angels,Pre-seed/Seed,"$25K-$250K","AI, fintech, marketplace",Evet,Evet
Keiretsu Forum Turkey,Pre-seed/Seed,"$50K-$400K","AI, fintech, marketplace",Evet,Evet
EGIAD Melekleri,Pre-seed,"$25K-$200K","AI, marketplace",Evet,Evet
BIC Angels,Pre-seed/Seed,"$50K-$400K","AI, fintech",Evet,Evet
İTÜ Çekirdek Yatırımcı Ağı,Pre-seed,"$25K-$250K","AI, fintech, marketplace",Evet,Evet
Arya VC,Pre-seed/Seed,"$100K-$750K","AI, fintech, marketplace",Evet,Evet
Ludus Ventures,Pre-seed/Seed,"$100K-$750K","AI, marketplace",Evet,Evet
Yıldız Tekno GSYO,Seed,"$250K-$1.5M","AI, fintech, marketplace",Evet,Evet
Ak Portföy GSYO,Seed,"$500K-$3M","AI, fintech",Evet,Evet
Albaraka Garaj Ventures,Pre-seed/Seed,"$100K-$1M","AI, fintech",Evet,Evet
QNBEYOND Ventures,Seed,"$300K-$2M","AI, fintech, marketplace",Evet,Evet
DomiNO Ventures,Pre-seed/Seed,"$150K-$1M","AI, fintech, marketplace",Evet,Evet
Aslanoba Capital,Pre-seed/Seed,"$100K-$1M","AI, marketplace",Evet,Evet
Teknoloji Yatırım AŞ,Seed,"$500K-$2M","AI, fintech, marketplace",Evet,Doğrulama gerekli
Idacapital,Seed,"$500K-$3M","AI, fintech, marketplace",Evet,Evet
ScaleX Ventures,Pre-seed/Seed,"$100K-$800K","AI, fintech",Evet,Doğrulama gerekli
Finberg,Seed,"$500K-$2M","fintech, AI",Evet,Evet
Kuveyt Türk Lonca VC,Pre-seed/Seed,"$100K-$750K","fintech, AI",Evet,Evet
E2VC,Seed,"$500K-$3M","AI, marketplace, fintech",Evet,Evet
Speedinvest,Pre-seed/Seed,"$300K-$3M","AI, fintech, marketplace",Hayır,Evet
Seedcamp,Pre-seed/Seed,"$500K-$2M","AI, fintech, marketplace",Hayır,Evet
Point Nine,Seed,"$500K-$3M","AI, marketplace",Hayır,Evet
Creandum,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
Northzone,Seed,"$1M-$8M","AI, fintech, marketplace",Hayır,Evet
LocalGlobe,Pre-seed/Seed,"$500K-$3M","AI, fintech, marketplace",Hayır,Evet
Balderton Capital,Seed,"$2M-$10M","AI, fintech, marketplace",Hayır,Evet
Atomico,Seed,"$1M-$10M","AI, fintech, marketplace",Hayır,Evet
Accel,Seed,"$2M-$12M","AI, fintech, marketplace",Hayır,Evet
Index Ventures,Seed,"$2M-$12M","AI, fintech, marketplace",Hayır,Evet
NFX,Pre-seed/Seed,"$500K-$5M","AI, fintech, marketplace",Hayır,Evet
Anthemis Group,Seed,"$500K-$5M","fintech, AI",Hayır,Evet
Portage Ventures,Seed,"$1M-$7M","fintech, AI",Hayır,Evet
Ribbit Capital,Seed,"$2M-$10M","fintech, AI",Hayır,Evet
QED Investors,Seed,"$1M-$8M","fintech",Hayır,Evet
Lightspeed Venture Partners,Seed,"$1M-$10M","AI, fintech, marketplace",Hayır,Evet
General Catalyst,Seed,"$2M-$10M","AI, fintech, marketplace",Hayır,Evet
Bessemer Venture Partners,Seed,"$1M-$10M","AI, fintech, marketplace",Hayır,Evet
Khosla Ventures,Seed,"$1M-$10M","AI, marketplace",Hayır,Evet
Greycroft,Seed,"$1M-$5M","AI, marketplace, fintech",Hayır,Evet
Initialized Capital,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
First Round Capital,Seed,"$1M-$5M","AI, fintech, marketplace",Hayır,Evet
Village Global,Pre-seed/Seed,"$250K-$2M","AI, fintech, marketplace",Hayır,Evet
Susa Ventures,Seed,"$500K-$4M","AI, fintech, marketplace",Hayır,Evet
Craft Ventures,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
M13,Seed,"$1M-$5M","AI, marketplace",Hayır,Evet
Felicis,Seed,"$1M-$8M","AI, fintech, marketplace",Hayır,Evet
CRV,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
OpenAI Startup Fund,Seed,"$1M-$10M","AI",Hayır,Evet
Radical Ventures,Seed,"$1M-$8M","AI",Hayır,Evet
Air Street Capital,Pre-seed/Seed,"$250K-$3M","AI",Hayır,Evet
Amplify Partners,Seed,"$1M-$8M","AI",Hayır,Evet
AIX Ventures,Pre-seed/Seed,"$250K-$2M","AI",Hayır,Evet
Soma Capital,Pre-seed/Seed,"$250K-$1M","AI, fintech, marketplace",Hayır,Evet
Sapphire Ventures,Seed,"$2M-$10M","AI, fintech",Hayır,Evet
GV (Google Ventures),Seed,"$2M-$12M","AI, fintech, marketplace",Hayır,Evet
Insight Partners,Seed,"$2M-$15M","AI, fintech, marketplace",Hayır,Evet
Tiger Global (early stage),Seed,"$2M-$15M","marketplace, fintech",Hayır,Doğrulama gerekli
DST Global (early stage),Seed,"$2M-$15M","marketplace, fintech",Hayır,Doğrulama gerekli
SoftBank Opportunity Fund,Seed,"$2M-$10M","AI, marketplace",Hayır,Doğrulama gerekli
Andreessen Horowitz (a16z),Seed,"$2M-$15M","AI, fintech, marketplace",Hayır,Evet
Y Combinator Continuity,Seed,"$500K-$3M","AI, fintech, marketplace",Hayır,Evet
Soma Collective,Pre-seed/Seed,"$100K-$750K","AI, marketplace",Hayır,Doğrulama gerekli
Plug and Play Ventures,Pre-seed/Seed,"$100K-$1M","AI, fintech, marketplace",Hayır,Evet
Techstars Ventures,Pre-seed/Seed,"$100K-$1M","AI, fintech, marketplace",Hayır,Evet
500 Global,Pre-seed/Seed,"$150K-$2M","AI, fintech, marketplace",Hayır,Evet
Global Founders Capital,Seed,"$500K-$5M","marketplace, fintech, AI",Hayır,Evet
Target Global,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
Cherry Ventures,Pre-seed/Seed,"$500K-$4M","AI, fintech, marketplace",Hayır,Evet
btov Partners,Seed,"$500K-$4M","AI, fintech, marketplace",Hayır,Evet
HV Capital,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
Partech,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
Eurazeo,Seed,"$1M-$7M","AI, fintech, marketplace",Hayır,Evet
Kima Ventures,Pre-seed/Seed,"$150K-$500K","AI, fintech, marketplace",Hayır,Evet
Brighteye Ventures,Pre-seed/Seed,"$500K-$3M","AI",Hayır,Evet
Project A,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
Smedvig Ventures,Seed,"$1M-$4M","AI, marketplace",Hayır,Evet
Notion Capital,Seed,"$1M-$6M","AI, fintech",Hayır,Evet
MMC Ventures,Seed,"$1M-$5M","AI, fintech, marketplace",Hayır,Evet
Octopus Ventures,Seed,"$1M-$6M","AI, fintech, marketplace",Hayır,Evet
AlbionVC,Seed,"$1M-$5M","AI, fintech",Hayır,Evet
Ada Ventures,Pre-seed/Seed,"$300K-$2M","AI, marketplace",Hayır,Evet
Episode 1 Ventures,Pre-seed/Seed,"$300K-$2M","AI, marketplace",Hayır,Evet
Kindred Capital,Pre-seed/Seed,"$300K-$2M","AI, fintech, marketplace",Hayır,Evet
Uncork Capital,Seed,"$1M-$4M","AI, fintech, marketplace",Hayır,Evet
Slow Ventures,Seed,"$500K-$3M","AI, marketplace",Hayır,Evet
Lerer Hippeau,Pre-seed/Seed,"$500K-$3M","AI, marketplace, fintech",Hayır,Evet
FJ Labs,Seed,"$500K-$3M","marketplace, fintech",Hayır,Evet
