month,year,pro_subscribers,pro_mrr_try,monthly_leads,partner_mrr_try,total_mrr_try,arr_run_rate_try,revenue_try,cogs_try,gross_profit_try,opex_try,ebitda_try,new_pro_subs,cac_spend_try,cash_try,runway_months,ltv_try,cac_try,ltv_cac_ratio
1,1,33,9867,120,115200,125067,1500804,125067,35019,90048,450000,-359952,33,15840,14624208,32,4186,1200,3.49
2,1,67,20033,120,115200,135233,1622796,135233,37865,97368,450000,-352632,34,16320,14255256,32,4186,1200,3.49
3,1,100,29900,120,115200,145100,1741200,145100,40628,104472,450000,-345528,33,15840,13893888,31,4186,1200,3.49
4,1,133,39767,120,115200,154967,1859604,154967,43391,111576,450000,-338424,33,15840,13539624,30,4186,1200,3.49
5,1,167,49933,120,115200,165133,1981596,165133,46237,118896,450000,-331104,34,16320,13192200,29,4186,1200,3.49
6,1,200,59800,120,115200,175000,2100000,175000,49000,126000,450000,-324000,33,15840,12852360,29,4186,1200,3.49
7,1,233,69667,120,115200,184867,2218404,184867,51763,133104,450000,-316896,33,15840,12519624,28,4186,1200,3.49
8,1,267,79833,120,115200,195033,2340396,195033,54609,140424,450000,-309576,34,16320,12193728,27,4186,1200,3.49
9,1,300,89700,120,115200,204900,2458800,204900,57372,147528,450000,-302472,33,15840,11875416,26,4186,1200,3.49
10,1,333,99567,120,115200,214767,2577204,214767,60135,154632,450000,-295368,33,15840,11564208,26,4186,1200,3.49
11,1,367,109733,120,115200,224933,2699196,224933,62981,161952,450000,-288048,34,16320,11259840,25,4186,1200,3.49
12,1,400,119600,120,115200,234800,2817600,234800,65744,169056,450000,-280944,33,15840,10963056,24,4186,1200,3.49
13,2,467,139633,350,385000,524633,6295596,524633,146897,377736,450000,-72264,67,32160,10858632,24,4186,1200,3.49
14,2,533,159367,350,385000,544367,6532404,544367,152423,391944,450000,-58056,66,31680,10768896,24,4186,1200,3.49
15,2,600,179400,350,385000,564400,6772800,564400,158032,406368,450000,-43632,67,32160,10693104,24,4186,1200,3.49
16,2,667,199433,350,385000,584433,7013196,584433,163641,420792,450000,-29208,67,32160,10631736,24,4186,1200,3.49
17,2,733,219167,350,385000,604167,7250004,604167,169167,435000,450000,-15000,66,31680,10585056,24,4186,1200,3.49
18,2,800,239200,350,385000,624200,7490400,624200,174776,449424,450000,-576,67,32160,10552320,23,4186,1200,3.49
19,2,867,259233,350,385000,644233,7730796,644233,180385,463848,450000,13848,67,32160,10534008,99,4186,1200,3.49
20,2,933,278967,350,385000,663967,7967604,663967,185911,478056,450000,28056,66,31680,10530384,99,4186,1200,3.49
21,2,1000,299000,350,385000,684000,8208000,684000,191520,492480,450000,42480,67,32160,10540704,99,4186,1200,3.49
22,2,1067,319033,350,385000,704033,8448396,704033,197129,506904,450000,56904,67,32160,10565448,99,4186,1200,3.49
23,2,1133,338767,350,385000,723767,8685204,723767,202655,521112,450000,71112,66,31680,10604880,99,4186,1200,3.49
24,2,1200,358800,350,385000,743800,8925600,743800,208264,535536,450000,85536,67,32160,10658256,99,4186,1200,3.49
25,3,1333,398567,800,960000,1358567,16302804,1358567,380399,978168,450000,528168,133,63840,11122584,99,4186,1200,3.49
26,3,1467,438633,800,960000,1398633,16783596,1398633,391617,1007016,450000,557016,134,64320,11615280,99,4186,1200,3.49
27,3,1600,478400,800,960000,1438400,17260800,1438400,402752,1035648,450000,585648,133,63840,12137088,99,4186,1200,3.49
28,3,1733,518167,800,960000,1478167,17738004,1478167,413887,1064280,450000,614280,133,63840,12687528,99,4186,1200,3.49
29,3,1867,558233,800,960000,1518233,18218796,1518233,425105,1093128,450000,643128,134,64320,13266336,99,4186,1200,3.49
30,3,2000,598000,800,960000,1558000,18696000,1558000,436240,1121760,450000,671760,133,63840,13874256,99,4186,1200,3.49
31,3,2133,637767,800,960000,1597767,19173204,1597767,447375,1150392,450000,700392,133,63840,14510808,99,4186,1200,3.49
32,3,2267,677833,800,960000,1637833,19653996,1637833,458593,1179240,450000,729240,134,64320,15175728,99,4186,1200,3.49
33,3,2400,717600,800,960000,1677600,20131200,1677600,469728,1207872,450000,757872,133,63840,15869760,99,4186,1200,3.49
34,3,2533,757367,800,960000,1717367,20608404,1717367,480863,1236504,450000,786504,133,63840,16592424,99,4186,1200,3.49
35,3,2667,797433,800,960000,1757433,21089196,1757433,492081,1265352,450000,815352,134,64320,17343456,99,4186,1200,3.49
36,3,2800,837200,800,960000,1797200,21566400,1797200,503216,1293984,450000,843984,133,63840,18123600,99,4186,1200,3.49
